1  -0.175348 0
2  -0.290735 0
3  -0.266152 0
4  -0.596055 0
5  -0.419456 0
6  -0.359616 0
7  0.0595082 0
8  0.57639 0
9  0.298855 0.167256
10  0.246038 1.02898
11  0.646791 1.20358
12  0.583333 1.20358
13  0.6286 1.20358
14  0.593243 1.20358
15  0.725154 1.20358
16  0.716092 1.20358
17  0.534046 1.20358
18  0.212233 1.20358
19  0.530963 1.20358
20  0.425113 1.20358
21  0.291351 1.20358
22  0.283834 1.20358
23  0.201114 1.20358
24  0.252448 1.20358
25  0.29073 1.20358
26  -0.218811 1.20358
27  -0.03831 1.20358
28  -0.0129265 1.20358
29  -0.220323 1.20358
30  -0.262047 1.20358
31  -0.0683448 1.20358
32  -0.172096 1.20358
33  -0.473332 1.20358
34  -0.468572 1.20358
35  -0.418136 1.20358
36  -0.370238 1.20358
37  -0.696304 1.20358
38  -0.54992 1.20358
39  -0.626986 1.20358
40  -0.416128 1.20358
41  -0.104362 1.20358
42  0.0387669 1.20358
43  -0.0246685 1.20358
44  0.36198 1.20358
45  0.426205 1.20358
46  0.230611 1.20358
47  0.779636 1.20358
48  0.929315 1.20358
49  0.908638 1.20358
50  1.09304 1.20358
51  0.731692 1.20358
52  0.715099 1.20358
53  0.780081 1.20358
54  0.854947 1.20358
55  0.963901 1.20358
56  1.02583 1.20358
57  1.16751 1.20358
58  0.772534 1.20358
59  0.867611 1.20358
60  1.15874 1.20358
61  1.07725 1.20358
62  1.22656 1.20358
63  1.49133 1.20358
64  1.29742 1.23225
65  1.74552 1.57742
66  1.63939 1.57742
67  1.1862 1.76435
68  0.855028 1.8388
69  0.976509 1.8388
70  1.03922 1.8388
71  1.25672 1.8388
72  1.49369 1.8388
73  1.39021 1.8388
74  1.57126 1.8388
75  1.51227 1.8388
76  1.81715 1.8388
77  1.70245 1.8388
78  1.78694 1.91059
79  1.42916 1.91059
80  1.6795 1.91059
81  1.9961 1.91059
82  1.84002 1.91059
83  1.45216 2.25526
84  1.51978 2.25526
85  1.35283 2.25526
86  1.18765 2.25526
87  1.12955 2.25526
88  1.44158 2.25526
89  1.453 2.25526
90  1.55974 2.25526
91  1.49341 2.25526
92  0.720742 2.25526
93  1.0606 2.25526
94  1.04928 2.25526
95  1.01821 2.25526
96  1.23502 2.25526
97  1.24716 2.25526
98  1.41506 2.25526
99  1.37176 2.25526
100  1.08227 2.25526
101  1.24957 2.25526
102  1.21587 2.25526
103  1.16774 2.25526
104  1.28923 2.25526
105  1.23054 2.25526
106  1.12749 2.25526
107  1.07411 2.25526
108  1.11247 2.25526
109  1.18326 2.25526
110  1.33623 2.25526
111  1.36233 2.25526
112  1.37231 2.25526
113  1.67705 2.25526
114  1.17206 2.25526
115  0.845597 2.25526
116  0.541236 2.25526
117  0.226049 2.25526
118  0.632117 2.25526
119  0.779962 2.25526
120  0.817743 2.25526
121  0.590618 2.25526
122  0.719216 2.25526
123  0.774057 2.25526
124  0.605905 2.25526
125  0.757216 2.25526
126  0.630361 2.25526
127  0.390002 2.25526
128  0.00667658 2.25526
129  0.0153239 2.25526
130  -0.279632 2.25526
131  -0.138366 2.25526
132  0.175375 2.25526
133  0.285364 2.25526
134  -0.000350533 2.25526
135  0.197299 2.25526
136  0.652591 2.25526
137  0.734235 2.25526
138  0.709294 2.25526
139  0.652554 2.25526
140  0.423574 2.25526
141  0.0301064 2.25526
142  0.27445 2.25526
143  -0.0787272 2.25526
144  -0.0715406 2.25526
145  0.00715601 2.25526
146  -0.145987 2.25526
147  0.254691 2.25526
148  0.553432 2.25526
149  0.527295 2.25526
150  0.329762 2.25526
151  0.0468595 2.25526
152  0.0787094 2.25526
153  0.334175 2.25526
154  -0.0460711 2.25526
155  0.480399 2.25526
156  0.794241 2.25526
157  0.719413 2.25526
158  0.55011 2.25526
159  0.458724 2.25526
160  0.346097 2.25526
161  -0.173337 2.25526
162  -0.0593527 2.25526
163  -0.180648 2.25526
164  0.514684 2.25526
165  0.649268 2.25526
166  0.751482 2.25526
167  0.959736 2.25526
168  1.18209 2.25526
169  1.04454 2.25526
170  1.10107 2.25526
171  0.844558 2.25526
172  0.662471 2.25526
173  0.669133 2.25526
174  0.578405 2.25526
175  0.390476 2.25526
176  0.247977 2.25526
177  0.463646 2.25526
178  0.366612 2.25526
179  0.499483 2.25526
180  0.165741 2.25526
181  0.0874599 2.25526
182  -0.0465107 2.25526
183  0.0688997 2.25526
184  0.12552 2.25526
185  0.073803 2.25526
186  0.080494 2.25526
187  0.630002 2.25526
188  1.18537 2.25526
189  1.15209 2.25526
190  0.894051 2.25526
191  1.17733 2.25526
192  1.35396 2.25526
193  1.61379 2.25526
194  1.92744 2.25526
195  2.13303 2.25526
196  2.17898 2.25526
197  2.1128 2.25526
198  1.81152 2.37557
199  1.60276 2.37557
200  1.57974 2.37557
201  1.17556 2.37557
