0.0243902  -0.174811 0
0.0487805  -0.290215 0
0.0731707  -0.265648 0
0.097561  -0.595567 0
0.121951  -0.418983 0
0.146341  -0.359158 0
0.170732  0.059952 0
0.195122  0.582026 0.182475
0.219512  0.323741 0.830638
0.243902  0.266296 0.830638
0.268293  0.655234 0.830638
0.292683  0.579854 0.830638
0.317073  0.613571 0.830638
0.341463  0.567026 0.830638
0.365854  0.688098 0.830638
0.390244  0.669128 0.851362
0.414634  0.477539 0.851362
0.439024  0.146482 0.851362
0.463415  0.456257 0.851362
0.487805  0.341732 0.851362
0.512195  0.199566 0.851362
0.536585  0.183908 0.851362
0.560976  0.0933008 0.851362
0.585366  0.136995 0.851362
0.609756  0.167875 0.851362
0.634146  -0.348836 0.851362
0.658537  -0.175281 0.851362
0.682927  -0.156626 0.851362
0.707317  -0.370541 0.851362
0.731707  -0.41858 0.851362
0.756098  -0.230994 0.851362
0.780488  -0.340671 0.851362
0.804878  -0.647649 0.851362
0.829268  -0.648449 0.851362
0.853659  -0.603401 0.851362
0.878049  -0.560722 0.851362
0.902439  -0.891844 0.851362
0.926829  -0.750357 0.851362
0.95122  -0.832168 0.851362
0.97561  -0.625906 0.851362
1  -0.318593 0.851362
1.02439  -0.179778 0.851362
1.04878  -0.247392 0.851362
1.07317  0.135209 0.851362
1.09756  0.195512 0.851362
1.12195  -0.00388025 0.851362
1.14634  0.541464 0.851362
1.17073  0.687578 0.851362
1.19512  0.663447 0.851362
1.21951  0.844506 0.851362
1.2439  0.481557 0.908904
1.26829  0.463571 0.908904
1.29268  0.527205 0.908904
1.31707  0.600764 0.908904
1.34146  0.708452 0.908904
1.36585  0.769156 0.908904
1.39024  0.909652 0.908904
1.41463  0.51352 0.908904
1.43902  0.607483 0.908904
1.46341  0.89753 0.908904
1.4878  0.815 0.908904
1.5122  0.963289 0.908904
1.53659  1.22943 0.991253
1.56098  1.04465 1.28552
1.58537  1.49247 1.28552
1.60976  1.39272 1.55196
1.63415  0.941118 1.55196
1.65854  0.608843 1.55196
1.68293  0.729053 1.55196
1.70732  0.790537 1.55196
1.73171  1.00684 1.55196
1.7561  1.24265 1.55196
1.78049  1.13805 1.55196
1.80488  1.31802 1.55196
1.82927  1.25798 1.55196
1.85366  1.56185 1.55196
1.87805  1.44985 1.68137
1.90244  1.53527 1.68137
1.92683  1.17819 1.68137
1.95122  1.42921 1.68137
1.97561  1.74647 1.68137
2  1.60076 2.02265
2.02439  1.21406 2.02265
2.04878  1.28184 2.02265
2.07317  1.11506 2.02265
2.09756  0.950039 2.02265
2.12195  0.892096 2.02265
2.14634  1.20427 2.02265
2.17073  1.21585 2.02265
2.19512  1.32273 2.02265
2.21951  1.25654 2.02265
2.2439  0.483999 2.02265
2.26829  0.823989 2.02265
2.29268  0.812794 2.02265
2.31707  0.781843 2.02265
2.34146  0.998773 2.02265
2.36585  1.01102 2.02265
2.39024  1.17903 2.02265
2.41463  1.13584 2.02265
2.43902  0.846447 2.02265
2.46341  1.01386 2.02265
2.4878  0.980251 2.02265
